DateTime,cpu %user,cpu %nice,cpu %sys,cpu %iowait,cpu %steal,%idle,Total Memory,Used Memory,Free Memory,Shared Memory,Buffers Memory,Cached Memory,Load-1Min,Load-5Min,Load-15Min,Server Status
09-04-2019 09:55,3.02,0,8.54,0,0,88.44,7823,5453,256,283,2113,1722,0.15,0.33,0.33,Warning
09-04-2019 10:00,18.18,0,15.15,0,0,66.67,7823,5275,434,283,2112,1902,0.68,0.53,0.42,Warning
09-04-2019 10:05,4.52,0,9.05,0,0,86.43,7823,5555,282,283,1985,1619,0.13,0.4,0.41,Warning
09-04-2019 10:10,2.01,0,5.03,0,0,92.96,7823,5425,412,283,1985,1751,0.17,0.46,0.45,Warning
09-04-2019 10:15,47.52,0,13.86,0,0,38.61,7823,5555,278,283,1989,1619,1.17,0.97,0.69,Warning
09-04-2019 10:20,35.71,0,20.41,0,0,43.88,7823,5305,529,283,1988,1872,0.57,0.88,0.73,Warning
09-04-2019 10:25,4.04,0,7.58,0,0,88.38,7823,5580,420,283,1822,1593,0.68,0.73,0.72,Warning
09-04-2019 10:30,50,0,23.27,0,0,26.73,7823,5527,472,283,1823,1647,0.05,0.38,0.58,Warning
09-04-2019 10:35,14.65,0,5.56,0,0,79.8,7823,5486,694,283,1642,1689,0.34,0.67,0.68,Warning
09-04-2019 10:40,2.51,0,5.53,0,0,91.96,7823,5268,907,283,1646,1908,0.71,0.62,0.64,Warning
09-04-2019 10:45,16.16,0,12.63,0,0,71.21,7823,5528,643,283,1650,1646,0.2,0.5,0.6,Warning
09-04-2019 10:50,8.08,0,9.09,0,0,82.83,7823,5261,912,283,1649,1916,0.18,0.4,0.54,Warning
09-04-2019 10:55,2.03,0,6.09,0,0,91.88,7823,5293,878,283,1650,1884,0.49,0.49,0.54,Warning
09-04-2019 11:00,4.04,0,9.09,0,0,86.87,7823,5666,498,283,1657,1506,0.04,0.23,0.41,Critical
09-04-2019 11:05,4.55,0,11.11,0,0,84.34,7823,5462,703,283,1657,1713,0.09,0.38,0.46,Warning
09-04-2019 11:10,14.07,0,10.55,0,0,75.38,7823,5514,648,283,1660,1659,0.27,0.4,0.46,Warning
09-04-2019 11:15,27.27,0,13.13,0,0,59.6,7823,5621,539,283,1662,1552,0.55,0.68,0.56,Warning
09-04-2019 11:20,4.52,0,8.04,0,0,87.44,7823,5383,771,283,1668,1791,0.76,0.68,0.6,Warning
09-04-2019 11:25,3.55,0,7.61,0,0,88.83,7823,5576,575,283,1671,1597,0.87,0.74,0.66,Warning
09-04-2019 11:30,4.57,0,8.63,0,0,86.8,7823,5540,610,283,1672,1634,0.21,0.44,0.55,Warning
09-04-2019 11:35,4.55,0,9.09,0,0,86.36,7823,5697,448,283,1676,1474,0.81,0.67,0.61,Critical
09-04-2019 11:40,5.56,0,13.64,0,0,80.81,7823,5539,607,283,1675,1635,0.38,0.46,0.54,Warning
09-04-2019 11:45,3.52,0,5.53,0,0,90.95,7823,5422,723,283,1676,1753,0.24,0.35,0.47,Warning
09-04-2019 11:50,4.04,0,9.6,0,0,86.36,7823,5462,682,283,1678,1713,0.59,0.44,0.46,Warning
